Name,info,Partner
24 well plate,Yojana Gadiya,Fraunhofer-Gesellschaft
384 well plate,Yojana Gadiya,Fraunhofer-Gesellschaft
96 well plate,Yojana Gadiya,Fraunhofer-Gesellschaft
ADMET,Yojana Gadiya,Fraunhofer-Gesellschaft
apoptosis assay,Yojana Gadiya,Fraunhofer-Gesellschaft
artifact assay,Yojana Gadiya,Fraunhofer-Gesellschaft
assay format,Yojana Gadiya,Fraunhofer-Gesellschaft
assay screening campaign stage,Yojana Gadiya,Fraunhofer-Gesellschaft
assay screening throughput,Yojana Gadiya,Fraunhofer-Gesellschaft
Bead-based immunoassay for protein state,Yojana Gadiya,Fraunhofer-Gesellschaft
binding assay,Yojana Gadiya,Fraunhofer-Gesellschaft
bioassay,Yojana Gadiya,Fraunhofer-Gesellschaft
bioassay specification,Yojana Gadiya,Fraunhofer-Gesellschaft
bioassay type,Yojana Gadiya,Fraunhofer-Gesellschaft
bioavailability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
biochemical format,Yojana Gadiya,Fraunhofer-Gesellschaft
brightfield microscopy,Yojana Gadiya,Fraunhofer-Gesellschaft
Caco-2 permeability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
calcium redistribution assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cAMP redistribution assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell based format,Yojana Gadiya,Fraunhofer-Gesellschaft
cell cycle assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell density determination,Yojana Gadiya,Fraunhofer-Gesellschaft
cell growth assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell morphology assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell motility assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell permeability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell proliferation assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell viability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cell viability ATP quantitation assay,Yojana Gadiya,Fraunhofer-Gesellschaft
chemical stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
chemotaxis assay,Yojana Gadiya,Fraunhofer-Gesellschaft
circular dichroism,Yojana Gadiya,Fraunhofer-Gesellschaft
competitive immunoassay,Yojana Gadiya,Fraunhofer-Gesellschaft
compound aggregation assay,Yojana Gadiya,Fraunhofer-Gesellschaft
compound fluorescence assay,Yojana Gadiya,Fraunhofer-Gesellschaft
compound library,Yojana Gadiya,Fraunhofer-Gesellschaft
compound redox activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
compound toxicity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
concentration response assay,Yojana Gadiya,Fraunhofer-Gesellschaft
confirmatory assay,Yojana Gadiya,Fraunhofer-Gesellschaft
confocal microscopy,Yojana Gadiya,Fraunhofer-Gesellschaft
counter screening assay,Yojana Gadiya,Fraunhofer-Gesellschaft
cytochrome P450 enzyme activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
