Services	Definition	Source	Source link
Bio samples management	"A biological sample or biological specimen is any material that originates from a living organism's body that can be studied and analyzed in a lab. The act or process of the management of biological sample handling, including methods of collection, processing, shipping, and storage."	NCIT	http://purl.obolibrary.org/obo/NCIT_C179745
Clinical trial data management	"Clinical data management ensures collection, integration and availability of data at appropriate quality and cost. It also supports the conduct, management and analysis of studies across the spectrum of clinical research as defined by the National Institutes of Health (NIH)"	WikiData	https://www.wikidata.org/wiki/Q5133825
Clinical Trial Design Planning	"The detailed planning of studies of the safety, efficacy, or optimum dosage schedule (if appropriate) of one or more diagnostic, therapeutic, or prophylactic drugs, devices, or techniques selected according to predetermined criteria of eligibility and observed for predefined evidence of favorable and unfavorable effects."	NCIT	http://purl.obolibrary.org/obo/NCIT_C15787
Clinical trial monitoring and auditing		Publication	https://doi.org/10.4103/picr.PICR_42_18
Data Management Plan Development	"Clinical data management is the collection, integration and validation of clinical trial data"	Clinical Trials Toolkit	https://cdsatoolkit.thsti.in/?page_id=380
Gathering Real World Evidence (RWE)	"Real-world evidence (RWE) is the clinical evidence regarding the usage and potential benefits or risks of a medical product derived from analysis of real-world data (RWD). RWE can be generated by different study designs or analyses, including but not limited to, randomized trials, including large simple trials, pragmatic trials, and observational studies (prospective and/or retrospective)."	FDA	https://www.fda.gov/science-research/science-and-research-special-topics/real-world-evidence
GMP Formulation development	"Good manufacturing practices (GMP) is that part of quality assurance which ensures that medicinal products are consistently produced and controlled to the quality standards (concerning manufacturing, processing, packing, release and holding) appropriate to their intended use and as required by the marketing authorisation (MA) or product specification."	REMEDi4ALL	
ICF Development	"A Informed Consent Development (ICF) is a process in which patients are given important information, including possible risks and benefits, about a medical procedure or treatment, genetic testing, or a clinical trial. This is to help them decide if they want to be treated, tested, or take part in the trial. Patients are also given any new information that might affect their decision to continue. Also called consent process."	NCIT	http://purl.obolibrary.org/obo/NCIT_C16468
IMPD and Placebo handling and distribution	"Investigational Medicinal Product Dossier (IMPD) contains data on the quality, production and control of the medicinal product being researched."	CCMO	https://english.ccmo.nl/investigators/clinical-trials-with-medicinal-products-ctr/preparation-ctr/research-dossier-part-i/g-investigational-medicinal-product-dossier-impd
MAA dossier development	"The Marketing authorisation Application (MAA) is a common document used as the basis for a marketing application (an application for approval to market the product based on a full review of all quality, safety, and efficacy data, including clinical study reports)"	REMEDi4ALL	
