name,skill_name,Individuals
Andrea Beccari,Marketing authorization application (MAA),3
Alicia Soler Cantón,Marketing authorization application (MAA),3
Carmine Talarico,Marketing authorization application (MAA),3
Drug Development Group,Marketing authorization application (MAA),4
Peggy Beinlich,Marketing authorization application (MAA),3
Drug Discovery Group,In-vivo toxicity testing,2
Philip Gribbon,In-vivo toxicity testing,1
Martin de Kort,In-vivo toxicity testing,1
Keiko Ueda,Project management,27
Alessandra Leone,Project management,27
Marianna Tampere,Project management,27
Peggy Beinlich,Project management,27
András Inotai,Project management,27
Rok Dreu,Project management,27
Sarai Rodríguez Navarro,Project management,27
Communication and Project Management Group,Project management,28
Saco de Visser,Project management,27
Zsuzsanna Petykó,Project management,27
Philip Gribbon,Project management,27
Davide Graziani,Project management,27
Markus Vähä-Koskela,Project management,27
Claudia Fuchs,Project management,27
Jordi Quintana,Project management,27
Andrea Beccari,Project management,27
Annika Jensen,Project management,27
Brinton Seashore-Ludlow,Project management,27
Carmine Talarico,Project management,27
Dalma Hosszú,Project management,27
Marc Jacobs,Project management,27
Jani Saarela,Project management,27
Andrea Zaliani,Project management,27
Martin Hofmann-Apitius,Project management,27
Jordi Carreras-Puigvert,Project management,27
Päivi Östling,Project management,27
Katja Herzog,Project management,27
Alicia Soler Cantón,Project management,27
Aimo Kannt,Project management,27
Marianna Tampere,Mechanism of action (MoA),17
Drug Discovery Group,Mechanism of action (MoA),18
Maddalena Fratelli,Mechanism of action (MoA),17
Philip Gribbon,Mechanism of action (MoA),17
Brinton Seashore-Ludlow,Mechanism of action (MoA),17
Andrea Beccari,Mechanism of action (MoA),17
Marc Jacobs,Mechanism of action (MoA),17
Flavio Ballante,Mechanism of action (MoA),17
Alessandra Leone,Mechanism of action (MoA),17
Jordi Carreras-Puigvert,Mechanism of action (MoA),17
Francesca Bruzzese,Mechanism of action (MoA),17
Ziaurrehman Tanoli,Mechanism of action (MoA),17
Andrea Zaliani,Mechanism of action (MoA),17
Annika Jensen,Mechanism of action (MoA),17
Yojana Gadiya,Mechanism of action (MoA),17
Claudia Fuchs,Mechanism of action (MoA),17
Martin de Kort,Mechanism of action (MoA),17
Aimo Kannt,Mechanism of action (MoA),17
Jordi Quintana,Mechanism of action (MoA),17
Communication and Project Management Group,Project communication and dissemination,17
Dalma Hosszú,Project communication and dissemination,16
Katja Herzog,Project communication and dissemination,16
Claudia Fuchs,Project communication and dissemination,16
Sarai Rodríguez Navarro,Project communication and dissemination,16
Saco de Visser,Project communication and dissemination,16
Jeanette Reinshagen,Project communication and dissemination,16
Marcell Csanádi,Project communication and dissemination,16
Marianna Tampere,Project communication and dissemination,16
Maddalena Fratelli,Project communication and dissemination,16
Carmine Talarico,Project communication and dissemination,16
Alicia Soler Cantón,Project communication and dissemination,16
Zsuzsanna Petykó,Project communication and dissemination,16
Francesca Bruzzese,Project communication and dissemination,16
Tero Aittokallio,Project communication and dissemination,16
Martin Hofmann-Apitius,Project communication and dissemination,16
Pan Pantziarka,Project communication and dissemination,16
Jordi Carreras-Puigvert,Project communication and dissemination,16
Francesca Bruzzese,In-vivo efficacy evaluation,2
Aimo Kannt,In-vivo efficacy evaluation,2
Drug Discovery Group,In-vivo efficacy evaluation,3
Martin de Kort,In-vivo efficacy evaluation,2
Drug Discovery Group,Pro-drugs,3
Johanna Huchting,Pro-drugs,2
Andrea Zaliani,Pro-drugs,2
Davide Graziani,Pro-drugs,2
Jordi Quintana,Target identification,14
Pan Pantziarka,Target identification,14
Brinton Seashore-Ludlow,Target identification,14
Carmine Talarico,Target identification,14
Aimo Kannt,Target identification,14
Jordi Carreras-Puigvert,Target identification,14
Andrea Zaliani,Target identification,14
Claudia Fuchs,Target identification,14
Annika Jensen,Target identification,14
Flavio Ballante,Target identification,14
Ziaurrehman Tanoli,Target identification,14
Philip Gribbon,Target identification,14
Drug Discovery Group,Target identification,15
Tero Aittokallio,Target identification,14
Yojana Gadiya,Target identification,14
Martin Hofmann-Apitius,Target identification,14
Carmine Talarico,Legal expertise,2
Andrea Beccari,Legal expertise,2
Communication and Project Management Group,Legal expertise,3
Martin de Kort,Legal expertise,2
Drug Development Group,Adaptive trial design,3
Päivi Östling,Adaptive trial design,2
Claudia Fuchs,Adaptive trial design,2
Martin de Kort,Adaptive trial design,2
Drug Discovery Group,In-vitro toxicity testing - Ames,1
Drug Discovery Group,Pharmacodynamics (PD),6
Saco de Visser,Pharmacodynamics (PD),5
Maddalena Fratelli,Pharmacodynamics (PD),5
Martin de Kort,Pharmacodynamics (PD),5
Ziaurrehman Tanoli,Pharmacodynamics (PD),5
Aimo Kannt,Pharmacodynamics (PD),5
Andrea Zaliani,Pharmacodynamics (PD),5
Zoltán Kaló,Market access,6
Heleen van der Meer,Market access,6
