Group,Skill,Individual,ORCID,Affiliation
Drug Discovery Group,Medicinal chemistry,Yojana Gadiya,https://orcid.org/0000-0002-7683-0452,Fraunhofer-Gesellschaft
Drug Discovery Group,Target identification,Yojana Gadiya,https://orcid.org/0000-0002-7683-0452,Fraunhofer-Gesellschaft
Drug Discovery Group,Biological discovery,Yojana Gadiya,https://orcid.org/0000-0002-7683-0452,Fraunhofer-Gesellschaft
Drug Discovery Group,Mechanism of action (MoA),Yojana Gadiya,https://orcid.org/0000-0002-7683-0452,Fraunhofer-Gesellschaft
Drug Discovery Group,Medicinal chemistry,Johanna Huchting,https://orcid.org/0000-0001-6368-3273,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Johanna Huchting,https://orcid.org/0000-0001-6368-3273,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit confirmation | hit validation,Johanna Huchting,https://orcid.org/0000-0001-6368-3273,Fraunhofer-Gesellschaft
Drug Discovery Group,Pro-drugs,Johanna Huchting,https://orcid.org/0000-0001-6368-3273,Fraunhofer-Gesellschaft
Drug Development Group,Data management,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Target identification,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Natural products,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,In-vivo toxicity testing,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Mechanism of action (MoA),Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit confirmation | hit validation,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Discovery Group,Target validation,Philip Gribbon,https://orcid.org/0000-0001-7655-2459,Fraunhofer-Gesellschaft
Drug Development Group,Clinical statistics,Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Drug Discovery Group,Medicinal chemistry,Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Drug Discovery Group,Pharmacodynamics (PD),Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Drug Discovery Group,Pharmacokinetics (PK),Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Drug Discovery Group,Target identification,Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Drug Discovery Group,Mechanism of action (MoA),Ziaurrehman Tanoli, https://orcid.org/0000-0003-2435-9862,University of Helsinki (FIMM-UH)
Communication and Project Management Group,Project management,Markus Vähä-Koskela, https://orcid.org/0000-0001-7764-7820,University of Helsinki (FIMM-UH)
Drug Discovery Group,Biological discovery,Markus Vähä-Koskela, https://orcid.org/0000-0001-7764-7820,University of Helsinki (FIMM-UH)
Drug Discovery Group,High-throughput screening (HTS),Markus Vähä-Koskela, https://orcid.org/0000-0001-7764-7820,University of Helsinki (FIMM-UH)
Communication and Project Management Group,Project communication and dissemination,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Communication and Project Management Group,Project management,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,Target identification,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,High-throughput screening (HTS),Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,Mechanism of action (MoA),Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,Drug combinations,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,Hit confirmation | hit validation,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Discovery Group,Target validation,Jordi Carreras-Puigvert, https://orcid.org/0000-0002-7671-3707,Uppsala Universitet
Drug Development Group,Pre-clinical pharmacology,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Phase 2 trials,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Phase 1 trials,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Investigational new drug (IND) submission,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Clinical study design,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Adaptive trial design,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Communication and Project Management Group,Legal expertise,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Medicinal chemistry,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Pharmacodynamics (PD),Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Pharmacokinetics (PK),Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Drug delivery,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Drug Formulation,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,In-vivo modelling,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,In-vivo toxicity testing,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Mechanism of action (MoA),Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Drug combinations,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,In-vivo efficacy evaluation,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Discovery Group,Target validation,Martin de Kort, https://orcid.org/0000-0002-7264-5436,EATRIS
Drug Development Group,Pre-clinical pharmacology,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Development Group,Clinical statistics,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Development Group,Data management,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Medicinal chemistry,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Pharmacodynamics (PD),Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Pharmacokinetics (PK),Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Target identification,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Natural products,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Mechanism of action (MoA),Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Drug combinations,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit confirmation | hit validation,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Pro-drugs,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Discovery Group,Target validation,Andrea Zaliani,https://orcid.org/0000-0002-1740-8390,Fraunhofer-Gesellschaft
Drug Development Group,Pre-clinical pharmacology,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Communication and Project Management Group,Project management,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,Target identification,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,Biological discovery,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,Drug combinations,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Discovery Group,Hit confirmation | hit validation,Brinton Seashore-Ludlow,https://orcid.org/0000-0001-8658-5967,Karolinska Institutet
Drug Development Group,Phase 3 trials,Saco de Visser,,ZonMw
Drug Development Group,Phase 2 trials,Saco de Visser,,ZonMw
Drug Development Group,Phase 1 trials,Saco de Visser,,ZonMw
Drug Development Group,Phase 4 trials and Pharmacovigilance,Saco de Visser,,ZonMw
Drug Development Group,Clinical study design,Saco de Visser,,ZonMw
Communication and Project Management Group,Project communication and dissemination,Saco de Visser,,ZonMw
Communication and Project Management Group,Project management,Saco de Visser,,ZonMw
Drug Discovery Group,Pharmacodynamics (PD),Saco de Visser,,ZonMw
Drug Discovery Group,Pharmacokinetics (PK),Saco de Visser,,ZonMw
Drug Development Group,Clinical study report (CSR) creation,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Phase 3 trials,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Phase 2 trials,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Phase 1 trials,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
