SkillGroup,Skill,Curie,description,url
Drug Development Group,Marketing authorization application (MAA),SKILLS:006,"An application made to a European regulatory authority for approval to market a medicine within the European Union (or Iceland, Liechtenstein or Norway). An MAA includes comprehensive information about a drug to enable a regulatory authority to judge its quality, safety and efficacy.",https://revive.gardp.org/resource/marketing-authorization-application-maa/
Drug Development Group,Data management,NCIT:C18086,"Processes for data acquisition, validation, storage, protection, and processing.",http://purl.obolibrary.org/obo/NCIT_C18086
Drug Development Group,Pre-clinical pharmacology,NCIT:C16974,"The study of pharmacologic agents. This includes the preparation, compounding, and dispensing of drugs, as well as the characteristics and properties of drugs, their effects on the body, and how they are metabolized and eliminated from the body.",http://purl.obolibrary.org/obo/NCIT_C16974
Drug Development Group,Quality assurance (clinical trials),SKILLS:012,"Measures taken to ensure that a clinical study is conducted and reported according to its agreed protocol, and in accordance with Good Clinical Practice (GCP) and any other relevant regulatory requirements. Quality assurance is based on a planned and systematic set of activities to ensure that all aspects of a clinical trial are carried out to a high standard. These activities are essential to protect the health and wellbeing of participants in trials and to ensure that the data obtained are reliable.",https://revive.gardp.org/resource/quality-assurance-clinical-trials/
Drug Development Group,Medical writing,OMIT:0028831,"A medical writer, also referred to as medical communicator, is a person who applies the principles of clinical research in developing clinical trial documents that effectively and clearly describe research results, product use, and other medical information",http://purl.obolibrary.org/obo/OMIT_0028831
Drug Development Group,Adaptive trial design,SKILLS:002,"A clinical trial that can be modified mid-way through based on preliminary analysis of results. Adaptive trials are efficient ways of testing more than one drug at a time, or different doses of a drug. If initial data suggest that a treatment is not working, or is inferior to a comparator, recruitment into that treatment arm can be halted. Adaptive trials were pioneered in oncology but are increasingly being used in other areas of medicine.",https://revive.gardp.org/resource/adaptive-trial/
Drug Development Group,Phase 4 trials and Pharmacovigilance,SKILLS:011,"Phase 4: Studies undertaken after a drug has been licensed, to gather further safety, efficacy or effectiveness data in routine clinical use.",https://revive.gardp.org/resource/phase-1234-trials/
Drug Development Group,Market access,SKILLS:016,MA can be defined as patients having access to the right drug at the right price through effective working with stakeholders to ensure that pharmaceutical products are reimbursed.,https://www.ispor.org/docs/default-source/euro2019/market-access-as-defined-by-market-access-pdf.pdf?sfvrsn=21154073_0
Drug Development Group,Biological license application (BLA),SKILLS:003,"A request to the US Food and Drug Administration (FDA) for permission to market a new biologic product. Formally, a BLA is defined as a request for permission to introduce, or deliver for introduction, a biologic product into interstate commerce in the US. A BLA is broadly equivalent to a new drug application (NDA) for traditional small-molecule drugs. It should contain all the information needed to demonstrate the product's safety, potency and purity.",https://revive.gardp.org/resource/biologics-license-application-bla/
Drug Development Group,Investigational new drug (IND) submission,SKILLS:005,"A novel drug, ready to be tested for safety and efficacy in people. Before a new drug or biological product can be tested on people in the USA, an Investigational New Drug (IND) application must be made to the US Food and Drug Administration (FDA). An IND application must include information on safety in animal models, on manufacturing processes and quality assurance (CMC), the design of the proposed clinical studies, and the qualifications of the investigators due to carry out the study. The IND process is designed to enable regulators to assess whether a drug is safe to test in humans and has promise as a potential treatment. In Europe, a Clinical Trial Application (CTA) must be made to national regulatory agencies to secure approval for studies on humans.",https://revive.gardp.org/resource/investigational-new-drug-ind/
Drug Development Group,Evidence synthesis,SKILLS:015,"Evidence synthesis, sometimes called ""systematic reviews"", involves combining information from multiple studies investigating the same topic to comprehensively understand their findings. This helps determine how effective a particular treatment or drug is, or how people have experienced a particular health condition or treatment. By using evidence synthesis effectively, policymakers, healthcare institutions, clinicians, researchers, and the public can make more informed decisions about health and healthcare. ",https://www.cochrane.org/news/evidence-synthesis-what-it-and-why-do-we-need-it
Drug Development Group,Patient related documentation creation,SKILLS:007,"Agreement from a potential participant that he or she is willing to take part in a clinical study and is aware of what the study involves. The principle of informed consent ensures that participants willingly take part in clinical studies and are fully aware of what the studies involve. To give informed consent, a potential participant must have received sufficient information in a format that enables them to understand the implications of their decision, and they must have sufficient reasoning powers to interpret the information provided. Special procedures are applied for those unable to give informed consent, for example, because of age, a decline in cognitive abilities or severe illness.",https://revive.gardp.org/resource/informed-consent/
Drug Development Group,Analytical Techniques,MESH:D002623,"Methodologies used for the isolation, identification, detection, and quantitation of chemical substances",http://id.nlm.nih.gov/mesh/D002623
Drug Development Group,Phase 1 trials,SKILLS:008,"Phase 1: First testing in humans, primarily to test safety. A drug is given to a small number of healthy volunteers who are closely monitored.",https://revive.gardp.org/resource/phase-1234-trials/
Drug Development Group,Health technology assessment,SKILLS:014,"A multi-disciplinary field of policy analysis that examines the medical, economic, social and ethical implications of the incremental value, diffusion and use of a medical technology in health care.",https://www.inahta.org/
Drug Development Group,Clinical study report (CSR) creation,SKILLS:004,"Comprehensive report of an individual study conducted in patients of any therapeutic, prophylactic, or diagnostic agent. A CSR must include an explanation of critical design features of the study, methods and how the study was carried out, individual patient data, and details of analytical methods. The content of CSRs is specified in guideline E3 produced by the International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). They are submitted to regulatory authorities and ethics committees and are a key element of submissions for regulatory approval.",https://revive.gardp.org/resource/clinical-study-report-csr/
Drug Development Group,Clinical statistics,OBI:0000234,a worker role that analyzes data obtained during a trial or study; this role occurs after the trial or study is completed or terminated.,http://purl.obolibrary.org/obo/OBI_0000234
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,SKILLS:001,"The chemical component of a drug treatment that is biologically active. In addition to an API, drug formulations may include a range of other biologically inactive materials, for example, to promote stability or to facilitate the manufacture of tablets or liquid medicines.",https://revive.gardp.org/resource/active-pharmaceutical-ingredient-api/
Drug Development Group,Phase 2 trials,SKILLS:009,"Phase 2: Testing in a small number of patients, to assess safety, to monitor how a drug is metabolized, and to gather initial data on efficacy. Phase 2 studies are sometimes divided into phase 2A and 2B. There are no formal definitions of these divisions, but phase 2A studies are typically more preliminary and can address issues such as dosing and safety, while phase 2B studies are generally ""mini-phase 3"" studies that provide data on efficacy. Increasingly, these categories are becoming less clear-cut, particularly phase 2 and 3 trials.",https://revive.gardp.org/resource/phase-1234-trials/
Drug Development Group,Clinical study design,OBI:0500001,"Plan for the precise procedure to be followed in a clinical trial, including planned and actual timing of events, choice of control group, method of allocating treatments, blinding methods, assigns a subject to pass through one or more epochs in the course of a trial. Specific design elements, e.g., crossover, parallel, dose-escalation [Modified from Pocock, Clinical Trials: A Practical Approach]",http://purl.obolibrary.org/obo/OBI_0500001
Drug Development Group,Health Economics,SKILLS:013,Health economics applies the principles of economics to address problems of health and health care. It identifies the factors that contribute to the health of individuals and populations and identifies the most productive ways of using whatever resources are available for improving health. Health economics focuses on measuring and valuing the outcomes of healthcare interventions.,https://www.ispor.org/heor-resources/about-heor
Drug Development Group,Phase 3 trials,SKILLS:010,Phase 3: A large trial in patients to test efficacy and safety. Pivotal phase 3 trials (or registration trials) provide the key data on efficacy in submissions for regulatory approval.,https://revive.gardp.org/resource/phase-1234-trials/
Communication and Project Management Group,Legal expertise,OMRSE:00000038,A role borne by a human individual or by a collection of humans regarded as possessing rights and duties enforeable at law,http://purl.obolibrary.org/obo/OMRSE_00000038
Communication and Project Management Group,Project communication and dissemination,CRO:0000083,"A communication role which involves the dynamic relational process that facilitates communication, interaction, involvement, and exchange between an organization and a community for a range of social and organizational outcomes.",http://purl.obolibrary.org/obo/CRO_0000083
