Name,info,Partner
2D structure prediction,Yojana Gadiya,Fraunhofer-Gesellschaft
2D structure similarity search,Yojana Gadiya,Fraunhofer-Gesellschaft
3D structure prediction,Yojana Gadiya,Fraunhofer-Gesellschaft
3D structure similarity search,Yojana Gadiya,Fraunhofer-Gesellschaft
AutoDock docking method,Yojana Gadiya,Fraunhofer-Gesellschaft
cartesian conformational search,Yojana Gadiya,Fraunhofer-Gesellschaft
cheminformatics method,Yojana Gadiya,Fraunhofer-Gesellschaft
circular fingerprint search,Yojana Gadiya,Fraunhofer-Gesellschaft
Clustal sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
ClustalW sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
ClustalX sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
computational phylogenetic analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
computational structure analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
computer simulation method,Yojana Gadiya,Fraunhofer-Gesellschaft
computer simulation method by force field,Yojana Gadiya,Fraunhofer-Gesellschaft
conformational search,Yojana Gadiya,Fraunhofer-Gesellschaft
conjugate gradient method,Yojana Gadiya,Fraunhofer-Gesellschaft
constraint molecular dynamics simulation,Yojana Gadiya,Fraunhofer-Gesellschaft
Cytoscape network analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
data based structure generation,Yojana Gadiya,Fraunhofer-Gesellschaft
database filtering,Yojana Gadiya,Fraunhofer-Gesellschaft
de novo structure design,Yojana Gadiya,Fraunhofer-Gesellschaft
decision tree,Yojana Gadiya,Fraunhofer-Gesellschaft
descriptor matching method,Yojana Gadiya,Fraunhofer-Gesellschaft
dihedral conformational search,Yojana Gadiya,Fraunhofer-Gesellschaft
distance comparison modeling,Yojana Gadiya,Fraunhofer-Gesellschaft
distance matrix alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
DrugScore scoring function,Yojana Gadiya,Fraunhofer-Gesellschaft
energy minimization method,Yojana Gadiya,Fraunhofer-Gesellschaft
exact match structure search,Yojana Gadiya,Fraunhofer-Gesellschaft
experimental design method,Yojana Gadiya,Fraunhofer-Gesellschaft
FASTA local sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
force field based scoring function,Yojana Gadiya,Fraunhofer-Gesellschaft
fractional factorial design,Yojana Gadiya,Fraunhofer-Gesellschaft
fragment based structure generation,Yojana Gadiya,Fraunhofer-Gesellschaft
full factorial design,Yojana Gadiya,Fraunhofer-Gesellschaft
global minimum search,Yojana Gadiya,Fraunhofer-Gesellschaft
GOLD docking method,Yojana Gadiya,Fraunhofer-Gesellschaft
GOLD scoring function,Yojana Gadiya,Fraunhofer-Gesellschaft
Hartree-Fock method,Yojana Gadiya,Fraunhofer-Gesellschaft
hierarchial clustering,Yojana Gadiya,Fraunhofer-Gesellschaft
homology modeling,Yojana Gadiya,Fraunhofer-Gesellschaft
k means clustering,Yojana Gadiya,Fraunhofer-Gesellschaft
ligand based pharmacophore model,Yojana Gadiya,Fraunhofer-Gesellschaft
ligand based virtual screening,Yojana Gadiya,Fraunhofer-Gesellschaft
linear QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
Lipinski rule of 5 filtering,Yojana Gadiya,Fraunhofer-Gesellschaft
local minimum search,Yojana Gadiya,Fraunhofer-Gesellschaft
local sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
MMFF force field simulation,Yojana Gadiya,Fraunhofer-Gesellschaft
MODELLER homology modeling,Yojana Gadiya,Fraunhofer-Gesellschaft
molecular docking,Yojana Gadiya,Fraunhofer-Gesellschaft
molecular docking by method,Yojana Gadiya,Fraunhofer-Gesellschaft
molecular docking by scoring function,Yojana Gadiya,Fraunhofer-Gesellschaft
molecular dynamics simulation,Yojana Gadiya,Fraunhofer-Gesellschaft
multiple sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
natural language processing,Yojana Gadiya,Fraunhofer-Gesellschaft
network analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
neural network model,Yojana Gadiya,Fraunhofer-Gesellschaft
neural network QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
Newton-Raphson method,Yojana Gadiya,Fraunhofer-Gesellschaft
non-linear QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
pairwise sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
parameterized model number 3,Yojana Gadiya,Fraunhofer-Gesellschaft
partial least squares QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
post Hartree-Fock method,Yojana Gadiya,Fraunhofer-Gesellschaft
principal component analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
protein-protein docking,Yojana Gadiya,Fraunhofer-Gesellschaft
quantitative structure activity relationship analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
random conformational search,Yojana Gadiya,Fraunhofer-Gesellschaft
randomized block design,Yojana Gadiya,Fraunhofer-Gesellschaft
RAPTOR protein threading,Yojana Gadiya,Fraunhofer-Gesellschaft
receptor based pharmacophore search,Yojana Gadiya,Fraunhofer-Gesellschaft
recursive partitioning QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
regression QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
restricted open-shell Hartree-Fock,Yojana Gadiya,Fraunhofer-Gesellschaft
scaffold hopping,Yojana Gadiya,Fraunhofer-Gesellschaft
secondary structure analysis method,Yojana Gadiya,Fraunhofer-Gesellschaft
self organizing molecular field analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
sequence alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
sequence alignment by method,Yojana Gadiya,Fraunhofer-Gesellschaft
sequence alignment by type,Yojana Gadiya,Fraunhofer-Gesellschaft
sequencing data alignment software,Yojana Gadiya,Fraunhofer-Gesellschaft
sequencing data analysis software,Yojana Gadiya,Fraunhofer-Gesellschaft
shape fingerprint search,Yojana Gadiya,Fraunhofer-Gesellschaft
simulated annealing,Yojana Gadiya,Fraunhofer-Gesellschaft
structure activity relationship analysis,Yojana Gadiya,Fraunhofer-Gesellschaft
structure alignment,Yojana Gadiya,Fraunhofer-Gesellschaft
structure based virtual screening,Yojana Gadiya,Fraunhofer-Gesellschaft
structure database search,Yojana Gadiya,Fraunhofer-Gesellschaft
structure similarity search,Yojana Gadiya,Fraunhofer-Gesellschaft
substructure search,Yojana Gadiya,Fraunhofer-Gesellschaft
SwissModel homology modeling,Yojana Gadiya,Fraunhofer-Gesellschaft
systematic conformational search,Yojana Gadiya,Fraunhofer-Gesellschaft
three dimensional QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
topomer search,Yojana Gadiya,Fraunhofer-Gesellschaft
two dimensional QSAR,Yojana Gadiya,Fraunhofer-Gesellschaft
virtual screening,Yojana Gadiya,Fraunhofer-Gesellschaft
2D structure prediction,Johanna Huchting,Fraunhofer-Gesellschaft
2D structure similarity search,Johanna Huchting,Fraunhofer-Gesellschaft
3D structure prediction,Johanna Huchting,Fraunhofer-Gesellschaft
3D structure similarity search,Johanna Huchting,Fraunhofer-Gesellschaft
AutoDock docking method,Johanna Huchting,Fraunhofer-Gesellschaft
cartesian conformational search,Johanna Huchting,Fraunhofer-Gesellschaft
cheminformatics method,Johanna Huchting,Fraunhofer-Gesellschaft
circular fingerprint search,Johanna Huchting,Fraunhofer-Gesellschaft
Clustal sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
ClustalW sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
ClustalX sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
computational phylogenetic analysis,Johanna Huchting,Fraunhofer-Gesellschaft
computational structure analysis,Johanna Huchting,Fraunhofer-Gesellschaft
computer simulation method,Johanna Huchting,Fraunhofer-Gesellschaft
computer simulation method by force field,Johanna Huchting,Fraunhofer-Gesellschaft
conformational search,Johanna Huchting,Fraunhofer-Gesellschaft
conjugate gradient method,Johanna Huchting,Fraunhofer-Gesellschaft
constraint molecular dynamics simulation,Johanna Huchting,Fraunhofer-Gesellschaft
Cytoscape network analysis,Johanna Huchting,Fraunhofer-Gesellschaft
data based structure generation,Johanna Huchting,Fraunhofer-Gesellschaft
database filtering,Johanna Huchting,Fraunhofer-Gesellschaft
de novo structure design,Johanna Huchting,Fraunhofer-Gesellschaft
decision tree,Johanna Huchting,Fraunhofer-Gesellschaft
descriptor matching method,Johanna Huchting,Fraunhofer-Gesellschaft
dihedral conformational search,Johanna Huchting,Fraunhofer-Gesellschaft
distance comparison modeling,Johanna Huchting,Fraunhofer-Gesellschaft
distance matrix alignment,Johanna Huchting,Fraunhofer-Gesellschaft
DrugScore scoring function,Johanna Huchting,Fraunhofer-Gesellschaft
energy minimization method,Johanna Huchting,Fraunhofer-Gesellschaft
exact match structure search,Johanna Huchting,Fraunhofer-Gesellschaft
experimental design method,Johanna Huchting,Fraunhofer-Gesellschaft
FASTA local sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
force field based scoring function,Johanna Huchting,Fraunhofer-Gesellschaft
fractional factorial design,Johanna Huchting,Fraunhofer-Gesellschaft
fragment based structure generation,Johanna Huchting,Fraunhofer-Gesellschaft
full factorial design,Johanna Huchting,Fraunhofer-Gesellschaft
global minimum search,Johanna Huchting,Fraunhofer-Gesellschaft
GOLD docking method,Johanna Huchting,Fraunhofer-Gesellschaft
GOLD scoring function,Johanna Huchting,Fraunhofer-Gesellschaft
Hartree-Fock method,Johanna Huchting,Fraunhofer-Gesellschaft
hierarchial clustering,Johanna Huchting,Fraunhofer-Gesellschaft
homology modeling,Johanna Huchting,Fraunhofer-Gesellschaft
k means clustering,Johanna Huchting,Fraunhofer-Gesellschaft
ligand based pharmacophore model,Johanna Huchting,Fraunhofer-Gesellschaft
ligand based virtual screening,Johanna Huchting,Fraunhofer-Gesellschaft
linear QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
Lipinski rule of 5 filtering,Johanna Huchting,Fraunhofer-Gesellschaft
local minimum search,Johanna Huchting,Fraunhofer-Gesellschaft
local sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
MMFF force field simulation,Johanna Huchting,Fraunhofer-Gesellschaft
MODELLER homology modeling,Johanna Huchting,Fraunhofer-Gesellschaft
molecular docking,Johanna Huchting,Fraunhofer-Gesellschaft
molecular docking by method,Johanna Huchting,Fraunhofer-Gesellschaft
molecular docking by scoring function,Johanna Huchting,Fraunhofer-Gesellschaft
molecular dynamics simulation,Johanna Huchting,Fraunhofer-Gesellschaft
multiple sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
natural language processing,Johanna Huchting,Fraunhofer-Gesellschaft
network analysis,Johanna Huchting,Fraunhofer-Gesellschaft
neural network model,Johanna Huchting,Fraunhofer-Gesellschaft
neural network QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
Newton-Raphson method,Johanna Huchting,Fraunhofer-Gesellschaft
non-linear QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
pairwise sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
parameterized model number 3,Johanna Huchting,Fraunhofer-Gesellschaft
partial least squares QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
post Hartree-Fock method,Johanna Huchting,Fraunhofer-Gesellschaft
principal component analysis,Johanna Huchting,Fraunhofer-Gesellschaft
protein-protein docking,Johanna Huchting,Fraunhofer-Gesellschaft
quantitative structure activity relationship analysis,Johanna Huchting,Fraunhofer-Gesellschaft
random conformational search,Johanna Huchting,Fraunhofer-Gesellschaft
randomized block design,Johanna Huchting,Fraunhofer-Gesellschaft
RAPTOR protein threading,Johanna Huchting,Fraunhofer-Gesellschaft
receptor based pharmacophore search,Johanna Huchting,Fraunhofer-Gesellschaft
recursive partitioning QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
regression QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
restricted open-shell Hartree-Fock,Johanna Huchting,Fraunhofer-Gesellschaft
scaffold hopping,Johanna Huchting,Fraunhofer-Gesellschaft
secondary structure analysis method,Johanna Huchting,Fraunhofer-Gesellschaft
self organizing molecular field analysis,Johanna Huchting,Fraunhofer-Gesellschaft
sequence alignment,Johanna Huchting,Fraunhofer-Gesellschaft
sequence alignment by method,Johanna Huchting,Fraunhofer-Gesellschaft
sequence alignment by type,Johanna Huchting,Fraunhofer-Gesellschaft
sequencing data alignment software,Johanna Huchting,Fraunhofer-Gesellschaft
sequencing data analysis software,Johanna Huchting,Fraunhofer-Gesellschaft
shape fingerprint search,Johanna Huchting,Fraunhofer-Gesellschaft
simulated annealing,Johanna Huchting,Fraunhofer-Gesellschaft
structure activity relationship analysis,Johanna Huchting,Fraunhofer-Gesellschaft
structure alignment,Johanna Huchting,Fraunhofer-Gesellschaft
structure based virtual screening,Johanna Huchting,Fraunhofer-Gesellschaft
structure database search,Johanna Huchting,Fraunhofer-Gesellschaft
structure similarity search,Johanna Huchting,Fraunhofer-Gesellschaft
substructure search,Johanna Huchting,Fraunhofer-Gesellschaft
SwissModel homology modeling,Johanna Huchting,Fraunhofer-Gesellschaft
systematic conformational search,Johanna Huchting,Fraunhofer-Gesellschaft
three dimensional QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
topomer search,Johanna Huchting,Fraunhofer-Gesellschaft
two dimensional QSAR,Johanna Huchting,Fraunhofer-Gesellschaft
virtual screening,Johanna Huchting,Fraunhofer-Gesellschaft
2D structure prediction,Philip Gribbon,Fraunhofer-Gesellschaft
2D structure similarity search,Philip Gribbon,Fraunhofer-Gesellschaft
3D structure prediction,Philip Gribbon,Fraunhofer-Gesellschaft
3D structure similarity search,Philip Gribbon,Fraunhofer-Gesellschaft
AutoDock docking method,Philip Gribbon,Fraunhofer-Gesellschaft
cartesian conformational search,Philip Gribbon,Fraunhofer-Gesellschaft
cheminformatics method,Philip Gribbon,Fraunhofer-Gesellschaft
circular fingerprint search,Philip Gribbon,Fraunhofer-Gesellschaft
Clustal sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
ClustalW sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
ClustalX sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
computational phylogenetic analysis,Philip Gribbon,Fraunhofer-Gesellschaft
computational structure analysis,Philip Gribbon,Fraunhofer-Gesellschaft
computer simulation method,Philip Gribbon,Fraunhofer-Gesellschaft
computer simulation method by force field,Philip Gribbon,Fraunhofer-Gesellschaft
conformational search,Philip Gribbon,Fraunhofer-Gesellschaft
conjugate gradient method,Philip Gribbon,Fraunhofer-Gesellschaft
constraint molecular dynamics simulation,Philip Gribbon,Fraunhofer-Gesellschaft
Cytoscape network analysis,Philip Gribbon,Fraunhofer-Gesellschaft
data based structure generation,Philip Gribbon,Fraunhofer-Gesellschaft
database filtering,Philip Gribbon,Fraunhofer-Gesellschaft
de novo structure design,Philip Gribbon,Fraunhofer-Gesellschaft
decision tree,Philip Gribbon,Fraunhofer-Gesellschaft
descriptor matching method,Philip Gribbon,Fraunhofer-Gesellschaft
dihedral conformational search,Philip Gribbon,Fraunhofer-Gesellschaft
distance comparison modeling,Philip Gribbon,Fraunhofer-Gesellschaft
distance matrix alignment,Philip Gribbon,Fraunhofer-Gesellschaft
DrugScore scoring function,Philip Gribbon,Fraunhofer-Gesellschaft
energy minimization method,Philip Gribbon,Fraunhofer-Gesellschaft
exact match structure search,Philip Gribbon,Fraunhofer-Gesellschaft
experimental design method,Philip Gribbon,Fraunhofer-Gesellschaft
FASTA local sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
force field based scoring function,Philip Gribbon,Fraunhofer-Gesellschaft
fractional factorial design,Philip Gribbon,Fraunhofer-Gesellschaft
fragment based structure generation,Philip Gribbon,Fraunhofer-Gesellschaft
full factorial design,Philip Gribbon,Fraunhofer-Gesellschaft
global minimum search,Philip Gribbon,Fraunhofer-Gesellschaft
GOLD docking method,Philip Gribbon,Fraunhofer-Gesellschaft
GOLD scoring function,Philip Gribbon,Fraunhofer-Gesellschaft
Hartree-Fock method,Philip Gribbon,Fraunhofer-Gesellschaft
hierarchial clustering,Philip Gribbon,Fraunhofer-Gesellschaft
homology modeling,Philip Gribbon,Fraunhofer-Gesellschaft
k means clustering,Philip Gribbon,Fraunhofer-Gesellschaft
ligand based pharmacophore model,Philip Gribbon,Fraunhofer-Gesellschaft
ligand based virtual screening,Philip Gribbon,Fraunhofer-Gesellschaft
linear QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
Lipinski rule of 5 filtering,Philip Gribbon,Fraunhofer-Gesellschaft
local minimum search,Philip Gribbon,Fraunhofer-Gesellschaft
local sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
MMFF force field simulation,Philip Gribbon,Fraunhofer-Gesellschaft
MODELLER homology modeling,Philip Gribbon,Fraunhofer-Gesellschaft
molecular docking,Philip Gribbon,Fraunhofer-Gesellschaft
molecular docking by method,Philip Gribbon,Fraunhofer-Gesellschaft
molecular docking by scoring function,Philip Gribbon,Fraunhofer-Gesellschaft
molecular dynamics simulation,Philip Gribbon,Fraunhofer-Gesellschaft
multiple sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
natural language processing,Philip Gribbon,Fraunhofer-Gesellschaft
network analysis,Philip Gribbon,Fraunhofer-Gesellschaft
neural network model,Philip Gribbon,Fraunhofer-Gesellschaft
neural network QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
Newton-Raphson method,Philip Gribbon,Fraunhofer-Gesellschaft
non-linear QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
pairwise sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
parameterized model number 3,Philip Gribbon,Fraunhofer-Gesellschaft
partial least squares QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
post Hartree-Fock method,Philip Gribbon,Fraunhofer-Gesellschaft
principal component analysis,Philip Gribbon,Fraunhofer-Gesellschaft
protein-protein docking,Philip Gribbon,Fraunhofer-Gesellschaft
quantitative structure activity relationship analysis,Philip Gribbon,Fraunhofer-Gesellschaft
random conformational search,Philip Gribbon,Fraunhofer-Gesellschaft
randomized block design,Philip Gribbon,Fraunhofer-Gesellschaft
RAPTOR protein threading,Philip Gribbon,Fraunhofer-Gesellschaft
receptor based pharmacophore search,Philip Gribbon,Fraunhofer-Gesellschaft
recursive partitioning QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
regression QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
restricted open-shell Hartree-Fock,Philip Gribbon,Fraunhofer-Gesellschaft
scaffold hopping,Philip Gribbon,Fraunhofer-Gesellschaft
secondary structure analysis method,Philip Gribbon,Fraunhofer-Gesellschaft
self organizing molecular field analysis,Philip Gribbon,Fraunhofer-Gesellschaft
sequence alignment,Philip Gribbon,Fraunhofer-Gesellschaft
sequence alignment by method,Philip Gribbon,Fraunhofer-Gesellschaft
sequence alignment by type,Philip Gribbon,Fraunhofer-Gesellschaft
sequencing data alignment software,Philip Gribbon,Fraunhofer-Gesellschaft
sequencing data analysis software,Philip Gribbon,Fraunhofer-Gesellschaft
