WP,lead,id,Individuals,Organizations
Patient & user onboarding & co-creation,EURORDIS-Plateforme Maladies Rares ,WP1,12,7
User project profiling & operations (regulatory planning),EATRIS,WP2,11,7
Training & capacity building,Beacon: for rare disease ,WP3,17,10
Data tools & In silico discovery,University of Helsinki (FIMM-UH),WP4,34,10
In vitro screening,Fraunhofer-Gesellschaft ,WP5,32,9
Preclinical development & validation,Karolinska Institutet,WP6,28,10
Clinical development & implementation,ECRIN ,WP7,17,6
"IP and health technology assessment, licencing and manufacturing",Syreon Research Institute,WP8,17,7
Research funding & policy,ZonMw,WP9,17,6
Clinical & non-clinical demonstrators,EATRIS,WP10,29,11
Sustainability & Impact,Teamit Research,WP11,11,6
Internationalization & Networking,EATRIS,WP12,8,4
Project Management,Teamit Research,WP13,6,3
